Name,Teff,logT,deltalogT,L,deltaL,logL,deltalogL
HD113414,6150,3.788875116,0.01389861,1.914957155,0.041263479,0.282159062,0.009258774
HD97127,6300,3.799340549,0.013572807,7.007891604,0.043452065,0.845587376,0.002684506
HD101065,6400,3.806179974,0.013363962,6.211489906,0.042021685,0.793195784,0.002928175
HD216641,6430,3.808210973,0.013302555,8.524721643,0.181732304,0.930680207,0.0091611
HD176384,6490,3.812244697,0.013181421,7.402814387,0.050969029,0.86939686,0.002979909
HD107619,6590,3.818885415,0.01298436,5.634415987,0.046612362,0.750848908,0.003578049
HD258048,6600,3.819543936,0.012964977,3.901194505,0.048343744,0.591197604,0.00534872
HD213637,6610,3.820201459,0.012945652,4.978001554,0.043462752,0.697055028,0.003775352
HD151860,6630,3.821513528,0.012907175,10.51566598,0.043097787,1.021836783,0.001776291
TYC9087-1516-1,6830,3.834420704,0.012534621,2.988218083,0.064770153,0.47541229,0.009312841
HD217522,6920,3.840106094,0.012373899,8.037212471,0.050816186,0.905105449,0.002737232
HD154708,6920,3.840106094,0.012373899,5.383922591,0.044856425,0.731098807,0.003603357
HD119027,6940,3.84135947,0.012338741,8.340554533,0.058803847,0.921194926,0.003051186
HD122970,7000,3.84509804,0.012234456,6.16292167,0.047603239,0.789786648,0.00334166
HD99563,7000,3.84509804,0.012234456,17.27539021,0.294769732,1.237427866,0.007347849
HD69013,7010,3.845718018,0.012217247,9.91839711,0.054211024,0.996441492,0.002367262
TYC2553-480-1,7100,3.851258349,0.012064511,6.685676076,0.060801719,0.825145331,0.003931764
HD51203,7100,3.851258349,0.012064511,8.922086708,0.049622811,0.95046644,0.002408764
HD143487,7110,3.851869601,0.012047776,17.56101647,0.073885085,1.24454965,0.001823389
HD76460,7110,3.851869601,0.012047776,23.24972734,0.050122806,1.366417864,0.000935264
HD185256,7150,3.854306042,0.011981297,8.236400034,0.068297765,0.915737432,0.003586402
TYC8912-1407-1,7180,3.856124444,0.011931918,12.98680335,0.059748403,1.113502264,0.001993477
HD10330,7180,3.856124444,0.011931918,5.129491063,0.19325279,0.710074277,0.01606129
HD203932,7200,3.857332496,0.011899223,8.346477041,0.192037845,0.921503203,0.009879137
HD57040,7200,3.857332496,0.011899223,10.31210559,0.048021976,1.013347351,0.002017752
HD86181,7210,3.857935265,0.011882943,8.576155017,0.047089245,0.933292622,0.002378066
TYC6021-415-1,7230,3.859138297,0.011850516,8.192355315,0.055061596,0.91340878,0.002909169
HD24712,7280,3.862131379,0.011770219,7.233613212,0.043293218,0.859355283,0.002591508
